cps19_citizenship,cps19_age,cps19_province,cps19_education,cps19_gender,cps19_lr_parties_1,cps19_lr_parties_2,cps19_votechoice,cps19_income_number,cps19_income_cat,cps19_lr_scale_bef_1,vote_liberal,vote_conservative
Canadian citizen,30,Quebec,Master's degree,A woman,5,9,Green Party,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,21,Quebec,Master's degree,A woman,NA,NA,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,19,Ontario,Some university,A woman,3,7,Liberal Party,NA,Don't know/ Prefer not to answer,4,1,0
Canadian citizen,21,Ontario,Some university,A man,5,7,Conservative Party,NA,"$110,001 to $150,000",7,0,1
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,4,7,Don't know/ Prefer not to answer,56000,NA,4,0,0
Canadian citizen,20,Ontario,Some university,A woman,4,6,Liberal Party,NA,"$110,001 to $150,000",4,1,0
Canadian citizen,21,Ontario,Some university,A woman,0,10,Liberal Party,NA,"$90,001 to $110,000",NA,1,0
Canadian citizen,21,Ontario,Some university,A woman,5,8,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,2,0,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A man,7,1,Liberal Party,NA,Don't know/ Prefer not to answer,6,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,1,9,ndp,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,21,Ontario,Some university,A woman,3,8,Conservative Party,NA,"More than $200,000",6,0,1
Canadian citizen,20,Ontario,Completed secondary/ high school,A man,4,8,Liberal Party,NA,"$150,001 to $200,000",2,1,0
Canadian citizen,19,Ontario,Some university,A woman,3,8,Liberal Party,30000,NA,0,1,0
Canadian citizen,21,Ontario,Some university,A man,3,6,Liberal Party,16000,NA,NA,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,1,9,Liberal Party,NA,Don't know/ Prefer not to answer,2,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,0,10,Liberal Party,NA,"$60,001 to $90,000",2,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,4,9,Green Party,NA,"$1 to $30,000",3,0,0
Canadian citizen,19,Ontario,Some university,A woman,7,10,Green Party,NA,"$30,001 to $60,000",3,0,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,6,4,ndp,13000,NA,NA,0,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A man,4,6,Conservative Party,55000,NA,NA,0,1
Canadian citizen,24,Ontario,Some university,A man,5,7,Liberal Party,1000000,NA,4,1,0
Canadian citizen,20,Ontario,Some university,A woman,1,9,Liberal Party,NA,"$30,001 to $60,000",NA,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,1,7,Don't know/ Prefer not to answer,NA,Don't know/ Prefer not to answer,NA,0,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,NA,NA,Liberal Party,190000,NA,10,1,0
Canadian citizen,20,Ontario,Completed secondary/ high school,A man,10,0,Liberal Party,NA,"$30,001 to $60,000",NA,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,5,6,Don't know/ Prefer not to answer,NA,"More than $200,000",5,0,0
Canadian citizen,19,Ontario,Some university,A man,4,6,Liberal Party,NA,"$30,001 to $60,000",NA,1,0
Canadian citizen,19,Ontario,Some secondary/ high school,A woman,0,9,Liberal Party,NA,"$90,001 to $110,000",3,1,0
Canadian citizen,20,Ontario,Completed secondary/ high school,A man,3,9,Conservative Party,10000,NA,10,0,1
Canadian citizen,24,Ontario,Some university,A woman,4,6,Liberal Party,40000,NA,4,1,0
Canadian citizen,21,Ontario,Some university,A woman,4,8,Green Party,30000,NA,2,0,0
Canadian citizen,19,Ontario,Some secondary/ high school,A man,0,10,Liberal Party,NA,"$110,001 to $150,000",2,1,0
Canadian citizen,19,Ontario,Some university,A woman,3,8,Liberal Party,NA,"$1 to $30,000",3,1,0
Canadian citizen,22,Ontario,Some university,A man,3,7,Liberal Party,NA,Don't know/ Prefer not to answer,3,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A man,5,7,Conservative Party,NA,Don't know/ Prefer not to answer,8,0,1
Canadian citizen,19,Ontario,Some university,A woman,2,9,ndp,NA,"$150,001 to $200,000",NA,0,0
Canadian citizen,19,Ontario,Some university,A woman,5,9,ndp,65000,NA,NA,0,0
Canadian citizen,19,Ontario,Some university,A woman,1,8,Liberal Party,NA,"$30,001 to $60,000",NA,1,0
Canadian citizen,21,Ontario,Completed secondary/ high school,A woman,2,7,Conservative Party,70000,NA,6,0,1
Canadian citizen,21,Ontario,Some university,A man,4,8,Liberal Party,NA,Don't know/ Prefer not to answer,NA,1,0
Canadian citizen,19,Ontario,Completed secondary/ high school,A woman,1,8,Liberal Party,NA,"$1 to $30,000",2,1,0
Canadian citizen,21,Ontario,Some university,A woman,3,8,Liberal Party,NA,"$1 to $30,000",3,1,0
