sex,age,province,education,citizenship_status,income_respondent
Female,52.7,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,51.1,Manitoba,Trade certificate or diploma,By birth,"Less than $25,000"
Female,63.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,80,Alberta,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,28,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,63,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,58.8,Nova Scotia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,63.8,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,25.2,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,15.7,British Columbia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,40.3,Manitoba,University certificate or diploma below the bachelor's level,By birth,"$25,000 to $49,999"
Female,56.8,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,26.8,Quebec,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,66.8,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,30.6,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"$25,000 to $49,999"
Male,68.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Female,33.8,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,73.2,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,39.1,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,64.8,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Male,25.5,Manitoba,"College, CEGEP or other non-university certificate or di...",Valid skip,"$25,000 to $49,999"
Male,49.4,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,16.3,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,63.5,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,78.4,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,30.8,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Female,19.1,Saskatchewan,Less than high school diploma or its equivalent,Valid skip,"Less than $25,000"
Female,40.8,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Male,43.9,Alberta,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Female,40.7,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,80,Manitoba,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,16.8,Alberta,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,71.4,Ontario,University certificate or diploma below the bachelor's level,By birth,"$50,000 to $74,999"
Male,71.6,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,29.6,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$50,000 to $74,999"
Female,74.9,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Male,18.6,Alberta,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,54.3,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,80,British Columbia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,37,Quebec,University certificate or diploma below the bachelor's level,By birth,"$50,000 to $74,999"
Female,27.3,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,68.9,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,53.6,Prince Edward Island,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,63.4,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Male,34.5,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,36.2,Quebec,Trade certificate or diploma,By birth,"$100,000 to $ 124,999"
Female,80,Nova Scotia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,69.4,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,26.8,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,60.6,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"Less than $25,000"
Female,51.9,Ontario,High school diploma or a high school equivalency certificate,Valid skip,"$50,000 to $74,999"
Male,61.5,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Female,47.5,Prince Edward Island,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Male,46.6,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,53.6,Ontario,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,68.6,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,45.1,Nova Scotia,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Male,51,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,70.8,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,60.8,Quebec,Trade certificate or diploma,By birth,"Less than $25,000"
Female,53.1,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,34,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Female,72.4,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,80,Alberta,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,65.9,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,61.8,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,37,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,58.4,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
